num_nets_with_moves,num_total_moves,est_errors,constraint_diffs,net_id
15,5,24.0,10.0,n500r25
21,5,12.0,10.0,n500r25
1,15,14.0,14.0,n100r5
3,15,36.0,34.0,n100r5
5,15,24.0,22.0,n100r5
1,15,24.0,12.0,n500r25
8,15,30.0,30.0,n500r25
15,15,58.0,38.0,n500r25
21,15,24.0,24.0,n500r25
1,20,12.0,10.0,n100r5
3,20,30.0,28.0,n100r5
5,20,32.0,30.0,n100r5
1,20,20.0,20.0,n500r25
8,20,68.0,48.0,n500r25
15,20,94.0,42.0,n500r25
21,20,40.0,36.0,n500r25
1,35,34.0,32.0,n100r5
3,35,74.0,72.0,n100r5
5,35,50.0,48.0,n100r5
1,35,58.0,34.0,n500r25
8,35,62.0,54.0,n500r25
15,35,104.0,70.0,n500r25
