numtaxa,nretics_true,nretics_est,nretics_inside,nretics_outside,nretics_duplicated,constraint_sizes,estRFerror,gauss_error,constraint_error_sum,replicate_num
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",10.0,0.7688559742077283,10.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.804825766357651,14.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,4.855652276986907,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,0.41405113514097014,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",48.0,2.3020626071341077,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,1.1444066696357622,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",52.0,2.018408135324176,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.3772136263305775,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,0.050746216504200595,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,0.9710741325412644,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.595136467640919,18.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.40373355952263,28.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.157378788736845,18.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.5361757855839198,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.8207361400388902,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,0.03694236459015955,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,0.708481437106873,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",42.0,0.014505796585684256,30.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,0.9092358318836397,10.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.819496198056625,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,2.3252587838702,16.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,4.1135112950926835,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",0.0,0.42747227641215396,0.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",42.0,1.0098807155300866,34.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.10211093474036967,14.0,1
