net_id,hwcd,sum_constraint_hwcd,gauss_sd,nretics_est,major_tree_only,m,force_unrooted
n50r2,-1.0,-1.0,-1.0,3.783186963708009,true,15,true
n50r2,-1.0,-1.0,-1.0,1.640916177939853,true,15,true
n50r2,-1.0,-1.0,-1.0,5.809672328325524,true,15,true
n50r2,-1.0,-1.0,-1.0,5.664651941140132,true,15,true
n50r2,-1.0,-1.0,-1.0,4.899171818809982,true,15,true
n50r2,-1.0,-1.0,-1.0,3.4120828347714336,true,15,true
n50r2,16.0,12.0,16.0,1.7180511434587524,true,15,true
n50r2,-1.0,-1.0,-1.0,3.163974631692355,true,15,true
n50r2,2.0,2.0,2.0,1.5094138252939764,true,15,true
n50r2,-1.0,-1.0,-1.0,4.399015253907626,true,15,true
n50r2,-1.0,-1.0,-1.0,2.8548800392178726,true,15,true
n50r2,-1.0,-1.0,-1.0,4.230926410173975,true,15,true
n50r2,-1.0,-1.0,-1.0,3.321391714510495,true,15,true
n50r2,-1.0,-1.0,-1.0,5.548619820365617,true,15,true
n50r2,-1.0,-1.0,-1.0,4.048670456294291,true,15,true
n50r2,24.0,20.0,24.0,1.2266894035078093,true,15,true
n50r2,6.0,6.0,6.0,0.6441190098471858,true,15,true
n50r2,18.0,14.0,18.0,1.9860420871584032,true,15,true
n50r2,24.0,22.0,24.0,0.03320795400045716,true,15,true
n50r2,26.0,22.0,26.0,1.6262043747740207,true,15,true
n50r2,-1.0,-1.0,-1.0,4.411799218874144,true,15,true
n50r2,8.0,4.0,8.0,2.238499511851547,true,15,true
n50r2,12.0,10.0,12.0,1.087247366253559,true,15,true
n50r2,38.0,32.0,38.0,0.6032004333697012,true,15,true
n50r2,20.0,16.0,20.0,0.4507891219751343,true,15,true
n50r2,10.0,10.0,10.0,0.12023221787008279,true,15,true
n50r2,-1.0,-1.0,-1.0,4.644406612819665,true,15,true
n50r2,-1.0,-1.0,-1.0,5.739110676706599,true,15,true
n50r2,18.0,14.0,18.0,0.22211031962255015,true,15,true
n50r2,-1.0,-1.0,-1.0,5.893459735476052,true,15,true
n50r2,-1.0,-1.0,-1.0,3.607565719283974,true,15,true
n50r2,22.0,18.0,22.0,0.8052409660059432,true,15,true
n50r2,16.0,12.0,16.0,1.6700244775436999,true,15,true
n50r2,20.0,18.0,20.0,0.6790468548459335,true,15,true
n50r2,-1.0,-1.0,-1.0,4.544687180581863,true,15,true
n50r2,38.0,32.0,38.0,1.6637977293343165,true,15,true
n50r2,-1.0,-1.0,-1.0,4.130835466553787,true,15,true
n50r2,34.0,20.0,34.0,1.6605758980625716,true,15,true
n50r2,2.0,0.0,2.0,0.49184718724038407,true,15,true
n50r2,12.0,12.0,12.0,1.3303646182681725,true,15,true
n50r2,14.0,14.0,14.0,1.236552754079558,true,15,true
n50r2,20.0,14.0,20.0,0.7278025498876214,true,15,true
n50r2,18.0,12.0,18.0,0.745067045178973,true,15,true
n50r2,-1.0,-1.0,-1.0,5.221943064153207,true,15,true
n50r2,-1.0,-1.0,-1.0,2.3701561922940573,true,15,true
n50r2,2.0,0.0,2.0,0.0,true,15,false
n50r2,22.0,20.0,22.0,2.1149582727448477,true,15,false
n50r2,-1.0,-1.0,-1.0,3.411845102619793,true,15,false
n50r2,18.0,18.0,18.0,0.5826573606855994,true,15,false
n50r2,-1.0,-1.0,-1.0,4.561242009198498,true,15,false
n50r2,32.0,28.0,32.0,1.455208964860796,true,15,false
n50r2,28.0,24.0,28.0,1.9602455871085531,true,15,false
n50r2,30.0,30.0,30.0,1.204543538291833,true,15,false
n50r2,6.0,2.0,6.0,0.847618248323112,true,15,false
n50r2,-1.0,-1.0,-1.0,5.146052254147213,true,15,false
n50r2,-1.0,-1.0,-1.0,4.5057927887639835,true,15,false
n50r2,-1.0,-1.0,-1.0,2.1796445491985272,true,15,false
n50r2,26.0,22.0,26.0,0.5425555083681821,true,15,false
n50r2,20.0,16.0,20.0,1.3975354475124269,true,15,false
n50r2,-1.0,-1.0,-1.0,5.880305635384681,true,15,false
n50r2,-1.0,-1.0,-1.0,3.9219534539581375,true,15,false
n50r2,-1.0,-1.0,-1.0,3.3270496965302074,true,15,false
n50r2,-1.0,-1.0,-1.0,3.4642321751267864,true,15,false
n50r2,-1.0,-1.0,-1.0,3.7266457834056177,true,15,false
n50r2,-1.0,-1.0,-1.0,3.661257738985932,true,15,false
n50r2,14.0,12.0,14.0,2.1287396226880166,true,15,false
n50r2,30.0,18.0,30.0,0.9149640733062046,true,15,false
n50r2,30.0,18.0,30.0,1.5332880122453545,true,15,false
n50r2,24.0,20.0,24.0,2.99892069272698,true,15,false
n50r2,42.0,32.0,42.0,1.9300732314922036,true,15,false
n50r2,-1.0,-1.0,-1.0,4.129388055712416,true,15,false
n50r2,-1.0,-1.0,-1.0,4.364295797074846,true,15,false
n50r2,-1.0,-1.0,-1.0,4.090647203253243,true,15,false
n50r2,-1.0,-1.0,-1.0,3.5921125716624545,true,15,false
n50r2,10.0,8.0,10.0,1.5378026279643122,true,15,false
n50r2,-1.0,-1.0,-1.0,5.39464620659838,true,15,false
n50r2,-1.0,-1.0,-1.0,4.160081936203932,true,15,false
n50r2,38.0,34.0,38.0,3.059169076188025,true,15,false
n50r2,-1.0,-1.0,-1.0,3.284105576017164,true,15,false
n50r2,-1.0,-1.0,-1.0,4.311440940990881,true,15,false
n50r2,38.0,34.0,38.0,2.45037497387528,true,15,false
n50r2,-1.0,-1.0,-1.0,3.598085393130908,true,15,false
n50r2,30.0,26.0,30.0,0.4484780762699574,true,15,false
n50r2,-1.0,-1.0,-1.0,3.5568280076347967,true,15,false
n50r2,-1.0,-1.0,-1.0,5.662978605710892,true,15,false
n50r2,12.0,8.0,12.0,1.2360906813620292,true,15,false
n50r2,-1.0,-1.0,-1.0,5.15569292995203,true,15,false
